epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
67,6099.77,0.54217,0.36328,0.0188,0.04519,0.96667,0.95845,0.98629,0.94231,0.37667,0.18896,0.02796,0.04324,0.000385073,0.000385073,0.000385073
68,6206.52,0.54339,0.36198,0.01909,0.04707,0.97652,0.96049,0.98726,0.94364,0.3655,0.18184,0.02755,0.03632,0.000374074,0.000374074,0.000374074
69,6313.5,0.55373,0.37634,0.0179,0.04856,0.96017,0.97458,0.98591,0.94563,0.35236,0.18372,0.02849,0.0339,0.000363075,0.000363075,0.000363075
70,6420.71,0.54735,0.3783,0.01847,0.04654,0.97388,0.96514,0.98676,0.94358,0.36281,0.18355,0.02849,0.0347,0.000352076,0.000352076,0.000352076
71,6525.77,0.54088,0.36699,0.01886,0.04662,0.96692,0.97005,0.98716,0.94392,0.37658,0.18427,0.02832,0.03514,0.000341077,0.000341077,0.000341077
72,6633.92,0.54202,0.37748,0.0185,0.04172,0.97158,0.96174,0.98657,0.94512,0.35898,0.18445,0.02897,0.03267,0.000330078,0.000330078,0.000330078
73,6740.9,0.53751,0.36156,0.01936,0.04329,0.95755,0.9739,0.98672,0.94401,0.36198,0.17562,0.02862,0.04235,0.000319079,0.000319079,0.000319079
74,6848.45,0.52984,0.35685,0.0182,0.04397,0.97252,0.96886,0.98712,0.94418,0.35411,0.17273,0.02877,0.03528,0.00030808,0.00030808,0.00030808
75,6955.09,0.54046,0.34582,0.01878,0.04709,0.96432,0.96537,0.98679,0.94429,0.34719,0.17741,0.02799,0.03429,0.000297081,0.000297081,0.000297081
76,7060.81,0.52485,0.34216,0.01898,0.04376,0.96897,0.96452,0.98604,0.94329,0.35094,0.1784,0.02889,0.03548,0.000286083,0.000286083,0.000286083
77,7168.54,0.52067,0.33563,0.01816,0.04301,0.96942,0.96652,0.98652,0.94369,0.34903,0.17364,0.02843,0.03525,0.000275084,0.000275084,0.000275084
78,7275.15,0.53815,0.35306,0.01841,0.04401,0.96058,0.97292,0.98601,0.94468,0.34674,0.18093,0.02819,0.03494,0.000264085,0.000264085,0.000264085
