epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,980.246,0.3512,0.31299,1.10342,0.99072,1,0.995,0.98718,0.25925,0.17707,1.05944,0.00703,0.00703,0.00703
182,985.527,0.3468,0.31767,1.11694,0.99381,1,0.995,0.9817,0.26856,0.17904,1.08875,0.0070135,0.0070135,0.0070135
183,990.382,0.34639,0.30642,1.09684,0.9912,1,0.995,0.98699,0.27104,0.17895,1.11352,0.006997,0.006997,0.006997
184,995.335,0.35098,0.31345,1.10995,0.98985,1,0.995,0.98342,0.25578,0.17648,1.06855,0.0069805,0.0069805,0.0069805
185,1000.14,0.3463,0.31231,1.10713,0.99378,1,0.995,0.98145,0.27754,0.18621,1.0855,0.006964,0.006964,0.006964
186,1005.39,0.35209,0.32166,1.12446,0.99129,1,0.995,0.98291,0.26412,0.18201,1.06388,0.0069475,0.0069475,0.0069475
187,1011.51,0.34203,0.30483,1.10551,0.98883,1,0.995,0.98403,0.26849,0.18219,1.0861,0.006931,0.006931,0.006931
188,1016.81,0.35885,0.32788,1.11949,0.99316,1,0.995,0.98186,0.26926,0.17691,1.08091,0.0069145,0.0069145,0.0069145
189,1022.13,0.34716,0.30448,1.09814,0.99335,1,0.995,0.98607,0.26326,0.1738,1.06062,0.006898,0.006898,0.006898
190,1027.42,0.35314,0.31102,1.10786,0.99348,1,0.995,0.98328,0.26998,0.17973,1.05854,0.0068815,0.0068815,0.0068815
191,1032.58,0.36029,0.31673,1.11402,0.99035,1,0.995,0.98398,0.25728,0.18439,1.05167,0.006865,0.006865,0.006865
192,1037.94,0.34472,0.30674,1.10173,0.9919,0.99638,0.995,0.98456,0.25803,0.1805,1.06085,0.0068485,0.0068485,0.0068485
193,1043.24,0.34413,0.30597,1.10979,0.99303,1,0.995,0.98456,0.28636,0.19581,1.07683,0.006832,0.006832,0.006832
194,1048.58,0.34855,0.30209,1.11969,0.99326,1,0.995,0.98098,0.27435,0.18413,1.06652,0.0068155,0.0068155,0.0068155
