epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
91,1199.64,0.47286,0.3018,0.04533,0.04545,0.91395,0.96629,0.96924,0.82033,0.61272,0.28341,0.05274,0.08634,0.000218,0.000218,0.000218
92,1212.53,0.48657,0.23889,0.04016,0.05617,0.9433,0.93471,0.96269,0.81683,0.60376,0.29695,0.05197,0.08392,0.0001982,0.0001982,0.0001982
93,1225.45,0.46787,0.2614,0.04222,0.05018,0.96848,0.92135,0.96307,0.82029,0.59143,0.2974,0.05218,0.08236,0.0001784,0.0001784,0.0001784
94,1238.71,0.44989,0.26126,0.04211,0.05221,0.95851,0.92135,0.96288,0.82293,0.58714,0.29754,0.05179,0.07983,0.0001586,0.0001586,0.0001586
95,1251.66,0.48914,0.29932,0.0435,0.04439,0.95335,0.91851,0.96332,0.82269,0.58926,0.28879,0.05161,0.08151,0.0001388,0.0001388,0.0001388
96,1264.56,0.46293,0.24121,0.04185,0.0458,0.92247,0.93586,0.96325,0.82397,0.58681,0.28527,0.05176,0.08297,0.000119,0.000119,0.000119
97,1277.71,0.47022,0.21546,0.0405,0.0511,0.92212,0.93258,0.96286,0.82842,0.58327,0.28655,0.0519,0.08276,9.92e-05,9.92e-05,9.92e-05
98,1290.65,0.48516,0.24163,0.04428,0.05799,0.95682,0.91011,0.96398,0.82719,0.57572,0.28449,0.0519,0.08139,7.94e-05,7.94e-05,7.94e-05
99,1303.7,0.46488,0.24771,0.04241,0.0499,0.9525,0.90133,0.96831,0.8374,0.57973,0.28717,0.05211,0.081,5.96e-05,5.96e-05,5.96e-05
100,1316.82,0.4503,0.22864,0.04449,0.05294,0.93248,0.93112,0.96845,0.83729,0.57622,0.28711,0.05232,0.08031,3.98e-05,3.98e-05,3.98e-05
